Country,CO2_Emissions,Urbanization_Percentage,GDP_Per_Capita_Number,Population_Number
Afghanistan,9.067 million Mt  (2017 est.),25.5,2000.0,34940837
Albania,4.5 million Mt  (2017 est.),60.3,12500.0,3057220
Algeria,135.9 million Mt  (2017 est.),72.6,15200.0,41657488
American Samoa,"361,100 Mt  (2017 est.)",87.2,11200.0,50826
Angola,20.95 million Mt  (2017 est.),65.5,6800.0,30355880
Antigua and Barbuda,"740,300 Mt  (2017 est.)",24.6,26400.0,95882
Argentina,203.7 million Mt  (2017 est.),91.9,20900.0,44694198
Armenia,5.501 million Mt  (2017 est.),63.1,9500.0,3038217
Aruba,1.266 million Mt  (2017 est.),43.4,37500.0,116576
Australia,439.1 million Mt  (2017 est.),86.0,50400.0,23470145
Austria,63.93 million Mt  (2017 est.),58.3,50000.0,8793370
Azerbaijan,35.6 million Mt  (2017 est.),55.7,17500.0,10046516
"Bahamas, The",3.089 million Mt  (2017 est.),83.0,32400.0,332634
Bahrain,37.98 million Mt  (2017 est.),89.3,49000.0,1442659
Bangladesh,79.97 million Mt  (2017 est.),36.6,4200.0,159453001
Barbados,1.76 million Mt  (2017 est.),31.1,18600.0,293131
Belarus,56.07 million Mt  (2017 est.),78.6,18900.0,9527543
Belgium,134.7 million Mt  (2017 est.),98.0,46600.0,11570762
Belize,"556,700 Mt  (2017 est.)",45.7,8300.0,385854
Benin,5.664 million Mt  (2017 est.),47.3,2300.0,11340504
Bermuda,"793,700 Mt  (2017 est.)",100.0,99400.0,71176
Bhutan,"604,900 Mt  (2017 est.)",40.9,9000.0,766397
Bolivia,17.66 million Mt  (2017 est.),69.4,7600.0,11306341
Bosnia and Herzegovina,22.07 million Mt  (2017 est.),48.2,12800.0,3849891
Botswana,6.235 million Mt  (2017 est.),69.4,17000.0,2249104
Brazil,513.8 million Mt  (2017 est.),86.6,15600.0,208846892
British Virgin Islands,"183,300 Mt  (2017 est.)",47.7,34200.0,35802
Brunei,10.04 million Mt  (2017 est.),77.6,78900.0,450565
Bulgaria,46.31 million Mt  (2017 est.),75.0,21800.0,7057504
Burkina Faso,3.421 million Mt  (2017 est.),29.4,1900.0,19742715
Burma,27.01 million Mt  (2017 est.),30.6,6300.0,55622506
Burundi,"217,000 Mt  (2017 est.)",13.0,700.0,11844520
Cabo Verde,"867,800 Mt  (2017 est.)",65.7,7000.0,568373
Cambodia,10.55 million Mt  (2017 est.),23.4,4000.0,16449519
Cameroon,7.672 million Mt  (2017 est.),56.4,3700.0,25640965
Canada,640.6 million Mt  (2017 est.),81.4,48400.0,35881659
Cayman Islands,"643,800 Mt  (2017 est.)",100.0,43800.0,59613
Central African Republic,"413,800 Mt  (2017 est.)",41.4,700.0,5745062
Chad,"342,200 Mt  (2017 est.)",23.1,2300.0,15833116
Chile,88.23 million Mt  (2017 est.),87.6,24600.0,17925262
China,11.67 billion Mt  (2017 est.),59.2,16700.0,1384688986
Colombia,95.59 million Mt  (2017 est.),80.8,14400.0,48168996
Comoros,"193,600 Mt  (2017 est.)",29.0,1600.0,821164
"Congo, Democratic Republic of the",3.146 million Mt  (2017 est.),44.5,800.0,85281024
"Congo, Republic of the",5.239 million Mt  (2017 est.),66.9,6800.0,5062021
Cook Islands,"88,810 Mt  (2017 est.)",75.1,16700.0,9038
Costa Rica,7.653 million Mt  (2017 est.),79.3,16900.0,4987142
Cote d'Ivoire,11.54 million Mt  (2017 est.),50.8,3900.0,26260582
Croatia,17.96 million Mt  (2017 est.),56.9,24700.0,4270480
Cuba,26.94 million Mt  (2017 est.),77.0,12300.0,11116396
Cyprus,7.72 million Mt  (2017 est.),66.8,37200.0,1237088
Czechia,115.8 million Mt  (2017 est.),73.8,35500.0,10686269
Denmark,37.45 million Mt  (2017 est.),87.9,50100.0,5809502
Djibouti,"950,200 Mt  (2017 est.)",77.8,3600.0,884017
Dominica,"199,600 Mt  (2017 est.)",70.5,11000.0,74027
Dominican Republic,23.79 million Mt  (2017 est.),81.1,17000.0,10298756
Ecuador,37.54 million Mt  (2017 est.),63.8,11500.0,16498502
Egypt,232.7 million Mt  (2017 est.),42.7,12700.0,99413317
El Salvador,7.331 million Mt  (2017 est.),72.0,8000.0,6187271
Equatorial Guinea,3.062 million Mt  (2017 est.),72.1,37400.0,797457
Eritrea,"597,100 Mt  (2017 est.)",40.1,1600.0,5970646
Estonia,5.306 million Mt  (2017 est.),68.9,31700.0,1244288
Eswatini,1.14 million Mt  (2017 est.),23.8,10100.0,1087200
Ethiopia,12.18 million Mt  (2017 est.),20.8,2200.0,108386391
Falkland Islands (Islas Malvinas),"44,070 Mt  (2017 est.)",77.7,70800.0,3198
Faroe Islands,"739,300 Mt  (2017 est.)",42.1,40000.0,51018
Fiji,2.369 million Mt  (2017 est.),56.2,9800.0,926276
Finland,46.01 million Mt  (2017 est.),85.4,44500.0,5537364
France,341.2 million Mt  (2017 est.),80.4,44100.0,67364357
French Polynesia,1.03 million Mt  (2017 est.),61.8,17000.0,290373
Gabon,4.293 million Mt  (2017 est.),89.4,18100.0,2119036
"Gambia, The","607,300 Mt  (2017 est.)",61.3,2600.0,2092731
Georgia,9.912 million Mt  (2017 est.),58.6,10700.0,4926087
Germany,847.6 million Mt  (2017 est.),77.3,50800.0,80457737
Ghana,13.67 million Mt  (2017 est.),56.1,4700.0,28102471
Gibraltar,13.34 million Mt  (2017 est.),100.0,61700.0,29461
Greece,69.37 million Mt  (2017 est.),79.1,27800.0,10761523
Greenland,"613,800 Mt  (2017 est.)",86.8,41800.0,57691
Grenada,"283,600 Mt  (2017 est.)",36.3,15100.0,112207
Guam,2.214 million Mt  (2017 est.),94.8,35600.0,167772
