Country,CO2_Emissions_Number,Urbanization_Number,GDP_Per_Capita_Number
Afghanistan,9067000.0,25.5,2000.0
Albania,4500000.0,60.3,12500.0
Algeria,135900000.0,72.6,15200.0
American Samoa,361100.0,87.2,11200.0
Angola,20950000.0,65.5,6800.0
Antigua and Barbuda,740300.0,24.6,26400.0
Argentina,203700000.0,91.9,20900.0
Armenia,5501000.0,63.1,9500.0
Aruba,1266000.0,43.4,37500.0
Australia,439100000.0,86.0,50400.0
Austria,63930000.0,58.3,50000.0
Azerbaijan,35600000.0,55.7,17500.0
"Bahamas, The",3089000.0,83.0,32400.0
Bahrain,37980000.0,89.3,49000.0
Bangladesh,79970000.0,36.6,4200.0
Barbados,1760000.0,31.1,18600.0
Belarus,56070000.0,78.6,18900.0
Belgium,134700000.0,98.0,46600.0
Belize,556700.0,45.7,8300.0
Benin,5664000.0,47.3,2300.0
Bermuda,793700.0,100.0,99400.0
Bhutan,604900.0,40.9,9000.0
Bolivia,17660000.0,69.4,7600.0
Bosnia and Herzegovina,22070000.0,48.2,12800.0
Botswana,6235000.0,69.4,17000.0
Brazil,513799999.99999994,86.6,15600.0
British Virgin Islands,183300.0,47.7,34200.0
Brunei,10040000.0,77.6,78900.0
Bulgaria,46310000.0,75.0,21800.0
Burkina Faso,3421000.0000000005,29.4,1900.0
Burma,27010000.0,30.6,6300.0
Burundi,217000.0,13.0,700.0
Cabo Verde,867800.0,65.7,7000.0
Cambodia,10550000.0,23.4,4000.0
Cameroon,7672000.000000001,56.4,3700.0
Canada,640600000.0,81.4,48400.0
Cayman Islands,643800.0,100.0,43800.0
Central African Republic,413800.0,41.4,700.0
Chad,342200.0,23.1,2300.0
Chile,88230000.0,87.6,24600.0
China,11670000000.0,59.2,16700.0
Colombia,95590000.0,80.8,14400.0
Comoros,193600.0,29.0,1600.0
"Congo, Democratic Republic of the",3146000.0000000005,44.5,800.0
"Congo, Republic of the",5239000.0,66.9,6800.0
Cook Islands,88810.0,75.1,16700.0
Costa Rica,7653000.0,79.3,16900.0
Cote d'Ivoire,11540000.0,50.8,3900.0
Croatia,17960000.0,56.9,24700.0
Cuba,26940000.0,77.0,12300.0
Cyprus,7720000.0,66.8,37200.0
Czechia,115800000.0,73.8,35500.0
Denmark,37450000.0,87.9,50100.0
Djibouti,950200.0,77.8,3600.0
Dominica,199600.0,70.5,11000.0
Dominican Republic,23790000.0,81.1,17000.0
Ecuador,37540000.0,63.8,11500.0
Egypt,232700000.0,42.7,12700.0
El Salvador,7331000.0,72.0,8000.0
Equatorial Guinea,3062000.0,72.1,37400.0
Eritrea,597100.0,40.1,1600.0
Estonia,5306000.0,68.9,31700.0
Eswatini,1140000.0,23.8,10100.0
Ethiopia,12180000.0,20.8,2200.0
Falkland Islands (Islas Malvinas),44070.0,77.7,70800.0
Faroe Islands,739300.0,42.1,40000.0
Fiji,2369000.0,56.2,9800.0
Finland,46010000.0,85.4,44500.0
France,341200000.0,80.4,44100.0
French Polynesia,1030000.0,61.8,17000.0
Gabon,4293000.0,89.4,18100.0
"Gambia, The",607300.0,61.3,2600.0
Georgia,9912000.0,58.6,10700.0
Germany,847600000.0,77.3,50800.0
Ghana,13670000.0,56.1,4700.0
Gibraltar,13340000.0,100.0,61700.0
Greece,69370000.0,79.1,27800.0
Greenland,613800.0,86.8,41800.0
Grenada,283600.0,36.3,15100.0
Guam,2214000.0,94.8,35600.0
Guatemala,17150000.0,51.1,8200.0
Guinea,2793999.9999999995,36.1,2200.0
Guinea-Bissau,397900.0,43.4,1900.0
Guyana,2131000.0,26.6,8100.0
Haiti,3595000.0,55.3,1800.0
Honduras,9436000.0,57.1,5600.0
Hong Kong,102500000.0,100.0,61500.0
Hungary,51280000.0,71.4,29600.0
Iceland,3228000.0,93.8,52200.0
India,2383000000.0,34.0,7200.0
Indonesia,540700000.0,55.3,12400.0
Iran,638300000.0,74.9,20100.0
Iraq,117900000.0,70.5,16700.0
Ireland,36910000.0,63.2,73200.0
Israel,73820000.0,92.4,36400.0
Italy,351000000.0,70.4,38200.0
Jamaica,8900000.0,55.7,9200.0
Japan,1268000000.0,91.6,42900.0
Jersey,450000.0,30.9,56600.0
Jordan,27390000.0,91.0,9200.0
Kazakhstan,304600000.0,57.4,26300.0
Kenya,17980000.0,27.0,3500.0
Kiribati,58850.0,54.1,2000.0
"Korea, North",27830000.0,61.9,1700.0
"Korea, South",778400000.0,81.5,39500.0
Kuwait,106500000.0,100.0,65800.0
Kyrgyzstan,10020000.0,36.4,3700.0
Laos,10420000.0,35.0,7400.0
Latvia,8632000.0,68.1,27700.0
Lebanon,23360000.0,88.6,19600.0
Lesotho,711100.0,28.2,3300.0
Liberia,1163000.0,51.2,1300.0
Libya,46480000.0,80.1,9600.0
Lithuania,13490000.0,67.7,32400.0
Luxembourg,10720000.0,91.0,105100.0
Macau,2563000.0,100.0,110000.0
Macedonia,7459000.0,58.0,14900.0
Madagascar,4021000.0,37.2,1600.0
Malawi,1082000.0,16.9,1200.0
Malaysia,226800000.0,76.0,29100.0
Maldives,1648000.0000000002,39.8,19200.0
Mali,3388000.0,42.4,2200.0
Malta,8141000.0,94.6,41900.0
Marshall Islands,293700.0,77.0,3600.0
Mauritania,2615000.0,53.7,4500.0
Mauritius,6428999.999999999,40.8,22300.0
Mexico,454100000.0,80.2,19900.0
"Micronesia, Federated States of",105.0,22.7,3400.0
Moldova,7653000.0,42.6,6700.0
Mongolia,19860000.0,68.4,13000.0
Montenegro,2287000.0,66.8,17800.0
Montserrat,57180.0,9.1,34000.0
Morocco,55400000.0,62.5,8600.0
Mozambique,11120000.0,36.0,1300.0
Namibia,3958000.0,50.0,11200.0
Nauru,76540.0,100.0,12300.0
Nepal,8396000.0,19.7,2700.0
Netherlands,250200000.0,91.5,53900.0
New Caledonia,6165000.0,70.7,31100.0
New Zealand,37750000.0,86.5,39000.0
Nicaragua,5405000.0,58.5,5900.0
Niger,2534000.0000000005,16.4,1200.0
Nigeria,104000000.0,50.3,5900.0
Niue,7252.0,44.8,5800.0
Norway,39800000.0,82.2,72100.0
Oman,68940000.0,84.5,46000.0
Pakistan,179500000.0,36.7,5400.0
Panama,26080000.0,67.7,25400.0
Papua New Guinea,6082000.000000001,13.2,3700.0
Paraguay,7740000.0,61.6,12800.0
Peru,55940000.0,77.9,13500.0
Philippines,117200000.0,46.9,8400.0
Poland,359000000.0,60.1,29600.0
Portugal,54970000.0,65.2,30500.0
Puerto Rico,19850000.0,93.6,39400.0
Qatar,114200000.0,99.1,124100.0
Romania,72070000.0,54.0,24600.0
Russia,1847000000.0,74.4,27900.0
Rwanda,985600.0,17.2,2100.0
"Saint Helena, Ascension, and Tristan da Cunha",10650.0,39.8,7800.0
Saint Kitts and Nevis,248100.0,30.8,28200.0
Saint Lucia,437900.0,18.7,14400.0
Saint Pierre and Miquelon,100200.0,90.2,46200.0
Saint Vincent and the Grenadines,226800.0,52.2,11500.0
Samoa,341100.0,18.2,5700.0
Sao Tome and Principe,148100.0,72.8,3200.0
Saudi Arabia,657100000.0,83.8,54500.0
Senegal,8644000.0,47.2,3500.0
Serbia,50210000.0,56.1,15100.0
Seychelles,1150000.0,56.7,29300.0
Sierra Leone,984800.0,42.1,1600.0
Singapore,249500000.0,100.0,94100.0
